#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
18480.0 0.00086757
18490.0 0.00081087
18500.0 0.00076607
18510.0 0.00077941
18520.0 0.00070724
18530.0 0.00062408
18540.0 0.00059941
18550.0 0.00055075
18560.0 0.00058638
18570.0 0.00046693
18580.0 0.00049489
18590.0 0.00043708
18600.0 0.00045056
18610.0 0.0004508 
18620.0 0.00029527
18630.0 0.00041423
18640.0 0.00040226
18650.0 0.00035572
18660.0 0.00037097
18670.0 0.00031276
18680.0 0.00034323
18690.0 0.00033734
18700.0 0.00024631
18710.0 0.00028332
18720.0 0.00030764
18730.0 0.00028688
18740.0 0.00031323
18750.0 0.00026136
18760.0 0.00019178
18770.0 0.00028608
18780.0 0.00022068
18790.0 0.00030374
18800.0 0.00025788
18810.0 0.00021832
18820.0 0.0002235 
18830.0 0.00027675
18840.0 0.00015748
18850.0 0.00026631
18860.0 0.00020516
18870.0 0.00019583
18880.0 0.00020324
18890.0 0.00024341
18900.0 0.00024952
18910.0 0.00017157
18920.0 0.00019478
18930.0 0.00019409
18940.0 0.00013749
18950.0 0.0001819 
18960.0 0.0001919 
18970.0 0.00021022
18980.0 0.00020992
18990.0 0.00019144
19000.0 0.00017598
19010.0 0.00018691
19020.0 0.00021946
19030.0 9.76e-05  
19040.0 0.00019314
19050.0 0.00013201
19060.0 0.00023392
19070.0 0.00021239
19080.0 0.00012901
19090.0 0.00029223
19100.0 0.00022558
19110.0 0.00018687
19120.0 0.00016178
19130.0 0.00018091
19140.0 0.00018789
19150.0 0.00016663
19160.0 0.00016132
19170.0 0.00019005
19180.0 0.00012064
19190.0 0.00018836
19200.0 0.00016278
19210.0 0.00014521
19220.0 0.00019197
19230.0 0.00015673
19240.0 0.00023855
19250.0 0.00013999
19260.0 0.00010651
19270.0 0.00015251
19280.0 0.00019278
19290.0 0.00015634
19300.0 0.00014089
19310.0 0.00013602
19320.0 0.00018532
19330.0 0.00021416
19340.0 0.00013565
19350.0 0.00013913
19360.0 0.00018027
19370.0 0.0001401 
19380.0 0.00017227
19390.0 0.00018474
19400.0 0.00013629
19410.0 0.0001937 
19420.0 0.00018496
19430.0 9.7953e-05
19440.0 0.00011107
19450.0 0.00014865
19460.0 0.00017187
19470.0 0.00016041
19480.0 0.00011084
19490.0 0.00013138
19500.0 0.00014385
19510.0 0.00017757
19520.0 0.00011301
19530.0 0.00015759
19540.0 0.00019966
19550.0 0.00012521
19560.0 0.00020701
19570.0 0.00014736
19580.0 0.00013345
19590.0 0.00015216
19600.0 0.00015183
19610.0 0.00011434
19620.0 0.00019232
19630.0 0.00016015
19640.0 0.00017746
19650.0 0.00016387
19660.0 0.00013931
19670.0 0.00016431
19680.0 0.0001561 
19690.0 0.00017564
19700.0 0.00014735
19710.0 0.00011497
19720.0 0.00015203
19730.0 0.00012305
19740.0 0.00012729
19750.0 0.00011872
19760.0 0.00013148
19770.0 0.00017611
19780.0 0.00017206
19790.0 0.00014812
19800.0 0.00011797
19810.0 0.00011317
19820.0 0.00014339
19830.0 0.00018485
19840.0 0.00017201
19850.0 0.00014445
19860.0 9.2975e-05
19870.0 0.00018882
19880.0 0.00018445
19890.0 0.00013968
19900.0 0.00010685
19910.0 0.00017608
19920.0 0.00018825
19930.0 0.00016431
19940.0 0.0001879 
19950.0 9.7968e-05
19960.0 0.00017523
19970.0 0.00014607
19980.0 0.00014461
19990.0 0.00016373
20000.0 0.0001487 
20010.0 0.00017659
20020.0 0.00019677
20030.0 0.000144  
20040.0 0.0001765 
20050.0 0.00016016
20060.0 0.00018077
20070.0 6.6107e-05
20080.0 9.0496e-05
20090.0 0.00017641
20100.0 0.00017264
20110.0 0.000173  
20120.0 0.00017211
20130.0 0.00012306
20140.0 0.00013975
20150.0 0.00013197
20160.0 8.5624e-05
20170.0 0.00018902
20180.0 0.00016013
20190.0 0.00020136
20200.0 0.00014785
20210.0 0.00012662
20220.0 0.00018036
20230.0 0.00010427
20240.0 0.00014885
20250.0 0.00012375
20260.0 0.00015607
20270.0 0.00011593
20280.0 0.00014118
20290.0 0.00018346
20300.0 0.00015057
20310.0 0.00018432
20320.0 0.00013994
20330.0 0.00011951
20340.0 0.00019139
20350.0 0.00016898
20360.0 0.00012568
20370.0 0.00018363
20380.0 0.00018024
